evig	agálaš	ihkuve
offentlig	almmus	byjjes
øvre	bajit	bijjie
kjent	beakkálmas	byögkehke
fast	bistevaš	staeries
kommende	boahttevaš	båetije
bedre	buorebut	buerebe
bar	bára	beavloes
frisk	dearvvas	vervies
viktig	deaŧalaš	vihkeles
full	dievas	dïeve
full	dievaslaš	ellies
fullstendig	dievaslaš	ellies
fornøyd	duđavaš	madtjeles
bein	dákti	rïekte
mer	eambbo	jienebe
mer	eanet	jienebe
rask	falli	radtjoes
dårlig	fuotni	geerve
lett	geahpas	aelhkies
lett	geahppat	aelhkies
klar	gearggus	klaeries
hel	geažos	ellies
sterk	gievra	nænnoes
passelig	heivvolaš	sjiehteles
morsom	hávski	lustes
klok	jierbmái	jearmijes
kulturell	kultuvrralaš	kulturelle
hyggelig	liekkus	lustes
endelig	loahpalaš	dellie_maajetjh
naturlig	lunddolaš	iemie
pålitelig	luohtehahtti	stinkes
løs	luovos	loeves
lik	lágan	dagkeres
svak	láivi	dasmoes
lam	láppis	laemies
rett	njuolga	rïekte
kjent	oahpis	åehpies
enkel	oktageardán	aelhkies
voksen	ollesolmmoš	geerve
fullstendig	oppalohkái	ellies
rik	rikkis	ræjhkoes
stygg	ropmi	rupmies
vanlig	sieiva	sïejhme
snill	siivui	boerehks
liten	smávis	onne
hyggelig	smáđáhkes	lustes
hemmelig	suollemas	sueleden
liten	uhcci	onne
fremmed	vieris	ammes
sikker	vissis	vihties
flittig	viššalit	rudtjege
høvelig	vuogas	sjiehteles
gammel	vuoras	båeries
først	vuosttaš	voestes
pågående	vuovdnái	naarpehke
staselig	vuovdnái	göögkeles
trøtt	váibbas	nahkeren
modig	váibmui	eadtjohke
ferdig	válmmas	gaervies
farlig	váralaš	ïskeres
farlig	várálaš	ïskeres
vanskelig	váttis	geerve
sein	áddjái	sööjmes
fruktsommelig	áhpeheapme	nåajsan
den_eneste	áidna	aajnehke
álgovuolggalaš	álgovuolggalaš	staeries
lett	álki	aelhkies
lett	álkit	aelhkies
naken	álás	båadtsah
nådig	árbmugas	åårmegs
redd	árgi	aerkies
ivrig	árjjalaš	eadtjohke
elendig	árki	låagkoeh
rar	ártet	rovnegs
generøs	árvvas	boerehks
skjønn	árvvošteapmi	tjaebpies
nyttig	ávkkálaš	aevhkies
ivrig	áŋgir	eadtjohke
ivrig	áŋgir	rudtjege
skarpsynt	čalbmes	tsåatske
blind	čalmmeheapme	tjelmehts
flink	čeahppi	gïemhpes
hemmelig	čiegus	sueleden
hemmelig	čiegus	tjeakoes
klar	čielggas	klaeries
klar	čielggas	tjïelke
kjølig	čoaskkis	jueskies
lys	čuovgat	tjuavkeds
følgende	čuovvovaš	minngebe
pen	čáppis	faavroes
snill	šiega	boerehks
motløs	šlundi	hujnies
bleik	šoavkat	pliejhkies
elegant	šođbat	siegkies
