
bare	aivve	ajve
alene	akto	oktebisnie
likevel	aŋkke	læjhkan
over	badjelii	aatsolen
heller	baicca	aallije
heller	baicce	aallije
opp	bajás	bæjjese
daglig	beaivválaččat	fïerhtenbeajjetje
bare	beare	ajve
altfor	bearehaga	ååpsen
etter	bearrái	mïnngesne
omtrent	birrasii	medtie
galt	boastut	båajhtode
nesten	bálljo	dallahmasten
straks	dakka	dallegh
straks	dakkaviđe	dallegh
der	dakko	dagka
nå	dal	daelie
straks	dallánaga	dallegh
straks	dalán	dallegh
derfor	danin	dannasinie
derfor	danne	dannasinie
til	dassá	goske
inntil	dassái	gossege
likevel	datte	læjhkan
allikevel	dattetge	havkh
nordpå	davvin	noerhtene
allikevel	dette	havkh
der	die	dagka
der	diekko	dagka
selvfølgelig	dieđusge	novh_hævvi
nok	doarvái	novh
der	doppe	dagka
der_borte	duo	debpene
bakenfor	duogábealde	duekeste
der	duos	dagka
sannelig	duođaid	novh_amma
bare	dušše	ajve
her	dá	daagkoe
kanskje	dáidit	kaanne
her	dákko	daagkoe
her	dáppe	daagkoe
her	dás	daagkoe
ofte	dávjá	daamtaj
om_kvelden	eahkedis	iehkeden
om_kvelden	eahkes	iehkeden
spesielt	earenoamážit	inhtsie
nettopp	easka	aadtjege
spesielt	erenoamážit	inhtsie
snart	farga	dallahmasten
sammen	fárrolaga	aktene
hvor_mange	galle	man_gellie
hardt	garrasit	tjarke
av_og_til	gaskkohagaid	muvhtine
en_gang	geardde	ikth
nylig	gieskat	aadtjege
hvor	goal	gubpene
nesten	goasii	dallahmasten
hvor	gokko	gubpene
hvor	gosa	gubpene
langt_borte	guhkkin	guhkene
vel	gul	bene
rolig	gulul	stööves
ved_siden_av	gurrii	baalte
veldig	hirbmadit	gaaje
meget	hui	sagke
stille	jaska	sjaavedh
hurtig	johtil	spaajhte
fort	jođánit	varke
allerede	juo	joe
just	juste	just
heldigvis	lihkus	hågkh
til_overs	liiggás	åebrelen
likevel	liikká	læjhkan
til_slutt	loahpas	minngemes
sørover	lulás	åarjese
naturlig	lunddolaččat	iemie
liksom	mahká	goh
liksom	mahkáš	goh
også	maiddái	aaj
hvorfor	manne	man
nesten	masá	dallahmasten
seinere	maŋŋelaš	minngielistie
sent	maŋŋit	seenhte
nesten	measta	dallahmasten
temmelig	mihá	naa
hvordan	movt	guktie
sørpå	máddin	åarjene
sørover	máttás	åarjese
nemlig	namalassii	gidtjh
altså	nappo	novh_amma
slik	nie	dagkeres
rett	njuolgga	rïekte
østpå	nuortan	luvlene
gratis	nuvttá	namhtah
slik	ná	dagkeres
nemlig	oainnat	gidtjh
full	oalát	ellies
vestpå	oarjin	jillene
temmelig	oba	naa
sammen_med	oktan	bealesne
en_gang	okte	ikth
sammen	oktii	aktene
alene	okto	oktebisnie
alene	oktonas	oktebisnie
fullstendig	ollislaččat	ellies
hele	oppa	abpe
i_dag	otne	daenbiejjien
dagens	otná	daanbeajjetje
først	ovddemus	voestegh
først	ovddimus	voestegh
sammen	ovttas	aktene
tilbake	ruovttoluotta	bååstede
meget	sakka	sagke
samtidig	seammás	seammasïenten
særskilt	sierra	oktegs
sikkert	sihkkarit	gidtjh
kanskje	suige	bene
omtrent	sulaid	medtie
omtrent	sullii	medtie
lite	uhccán	madtege
lite	uhcán	madtege
lite	unnán	madtege
litt	veahá	ahtjetje
litt	vehá	ahtjetje
litt	veháš	ahtjetje
all	visot	gaajhke
kanskje	vissa	bene
i_mot	vuhtii	sonterh
ned	vulos	våålese
først	vuohččan	voestegh
under	vuollel	nuelesne
ned	vuolás	våålese
først	vuos	voestegh
først	vuosttamuš	voestegh
først	vuosttas	voestegh
først	vuosttaš	voestegh
først	vuosttažettiin	voestegh
igjen	vuot	aaj
på	váile	åvtelen
særskilt	vásedin	joekoen
stadig	álelassii	staeries
fullstendig	álfárot	ellies
i_begynnelsen	álggos	aalkoelisnie
alltid	álo	iktegisth
alltid	álohii	iktegisth
unnskyld	ándagassii	gaatesjen
om_høsten	čakčat	tjaktjege
alltid	čađat	iktegisth
